audience_percent,critic_percent,title,audience_number,critic_number,release_year,genre,runtime,differential,bubble_width
63,81,The Spiderwick Chronicles,250000,149,2008.0,Kids and family/Drama,1:37,18,22.816100321808104
67,56,17 Again,250000,149,2009.0,Comedy,1:42,-11,22.816100321808104
74,80,The Bank Job,250000,148,2008.0,Drama/Action,1:51,6,22.72027439676837
48,11,Fool's Gold,250000,147,2008.0,Romance/Action,1:52,-37,22.624205359490148
47,25,Four Christmases,250000,145,2008.0,Romance/Other,1:28,-22,22.43132880334213
26,65,Stop-Loss,250000,144,2008.0,War/Drama,1:53,39,22.33451661845039
40,28,Ghosts of Girlfriends Past,250000,144,2009.0,Romance,1:40,-12,22.33451661845039
72,86,Cloudy With a Chance of Meatballs,250000,144,2009.0,Kids and family/Comedy,1:30,14,22.33451661845039
45,21,Fred Claus,250000,143,2007.0,Comedy/Other,1:56,-24,22.237451987521194
58,52,The Hills Have Eyes,250000,142,2006.0,Horror,1:47,-6,22.14013247996374
42,38,Cirque du Freak: The Vampire's Assistant,250000,141,2009.0,Action/Adventure,1:49,-4,22.042555624480066
75,62,Marley & Me,250000,141,2008.0,Comedy/Drama,1:56,-13,22.042555624480066
30,6,All About Steve,250000,140,2009.0,Comedy/Romance,1:39,-24,21.944718908089367
69,27,Remember Me,250000,139,2010.0,Drama/Romance,1:53,-42,21.84661977512174
72,48,My Sister's Keeper,250000,138,2009.0,Drama,1:48,-24,21.748255626180264
55,28,Dear John,250000,138,2010.0,Drama/Romance,1:47,-27,21.748255626180264
73,80,Dr. Seuss' Horton Hears a Who!,250000,137,2008.0,Kids and family/Adventure,1:28,7,21.649623817070065
60,52,Harold & Kumar Escape From Guantanamo Bay,250000,136,2008.0,Comedy,1:42,-8,21.550721657693213
67,43,Hannah Montana: The Movie,250000,134,2009.0,Musical/Comedy,1:32,-24,21.35209529135088
72,78,Madagascar 3: Europe's Most Wanted,250000,134,2012.0,Kids and family/Comedy,1:25,6,21.35209529135088
65,26,What Happens in Vegas,250000,133,2008.0,Romance,1:39,-39,21.252365464220812
67,67,The Expendables 2,250000,132,2012.0,Action/Adventure,1:43,0,21.152354044022278
33,21,Balls of Fury,250000,132,2007.0,Comedy,1:30,-12,21.152354044022278
60,63,The Forbidden Kingdom,250000,131,2008.0,Sports and fitness/Action,1:45,3,21.05205809326756
72,63,High School Musical 3: Senior Year,250000,131,2008.0,Kids and family/Comedy,1:52,-9,21.05205809326756
36,39,Fighting,250000,130,2009.0,Action/Drama,1:45,3,20.951474621135226
67,36,National Treasure: Book of Secrets,250000,130,2007.0,Action/Adventure,2:10,-31,20.951474621135226
49,32,The Uninvited,250000,129,2009.0,Horror/Mystery and thriller,1:27,-17,20.850600582083427
42,23,Push,250000,128,2009.0,Sci fi/Action,1:51,-19,20.749432874416154
39,22,G-Force,250000,127,2009.0,Kids and family/Comedy,1:28,-17,20.647968338800368
44,10,My Life in Ruins,250000,126,2009.0,Romance,1:36,-34,20.546203756731995
55,16,Made of Honor,250000,126,2008.0,Comedy/Romance,1:41,-39,20.546203756731995
55,38,Mr. Magorium's Wonder Emporium,250000,125,2007.0,Kids and family/Comedy,1:35,-17,20.444135848948562
53,7,License to Wed,250000,125,2007.0,Romance,1:31,-46,20.444135848948562
27,12,Did You Hear About the Morgans?,250000,123,2009.0,Comedy/Romance,1:43,-15,20.23907662547856
75,62,The Express,250000,121,2008.0,Biography/Drama,2:09,-13,20.032763155216593
32,13,"I Love You, Beth Cooper",250000,120,2009.0,Comedy,1:42,-19,19.92912718504312
40,41,Imagine That,250000,120,2009.0,Kids and family/Comedy,1:47,1,19.92912718504312
30,10,The Unborn,250000,119,2009.0,Horror/Mystery and thriller,1:28,-20,19.82516684143501
64,39,Hot Rod,250000,119,2007.0,Comedy/Action,1:28,-25,19.82516684143501
21,7,Whiteout,250000,117,2009.0,Mystery and thriller,1:41,-14,19.616257942185833
57,5,Good Luck Chuck,250000,117,2007.0,Romance,1:39,-52,19.616257942185833
